training log: output/train_20260408_123704.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/sveAndriceveKnjige.txt', 'save_path': 'models/andric_transformer_acc5_3e-06LR.pt', 'init_from': 'models/sr_transformer_512x20_acc40_3e-05LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-06, 'max_steps': 30000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc40_3e-05LR.pt
step 3500 | train 4.0193 | val 3.8158 | ppl 45.41 | lr 2.91e-06
step 3550 | train 3.9790 | val 3.8259 | ppl 45.88 | lr 2.91e-06
step 3600 | train 3.9629 | val 3.8279 | ppl 45.96 | lr 2.91e-06
step 3650 | train 4.0458 | val 3.8059 | ppl 44.97 | lr 2.90e-06
step 3700 | train 3.9706 | val 3.8290 | ppl 46.02 | lr 2.90e-06
step 3750 | train 3.9989 | val 3.8210 | ppl 45.65 | lr 2.90e-06
step 3800 | train 3.9536 | val 3.8266 | ppl 45.91 | lr 2.89e-06
step 3850 | train 3.9651 | val 3.8146 | ppl 45.36 | lr 2.89e-06
step 3900 | train 3.9088 | val 3.8291 | ppl 46.02 | lr 2.89e-06
step 3950 | train 3.9260 | val 3.8049 | ppl 44.92 | lr 2.89e-06
step 4000 | train 3.9831 | val 3.8325 | ppl 46.18 | lr 2.88e-06
step 4050 | train 3.9628 | val 3.8097 | ppl 45.14 | lr 2.88e-06
step 4100 | train 3.9436 | val 3.8039 | ppl 44.88 | lr 2.88e-06
step 4150 | train 3.9418 | val 3.8253 | ppl 45.85 | lr 2.87e-06
step 4200 | train 3.9307 | val 3.8009 | ppl 44.74 | lr 2.87e-06
step 4250 | train 3.9321 | val 3.8099 | ppl 45.15 | lr 2.87e-06
step 4300 | train 4.0059 | val 3.8308 | ppl 46.10 | lr 2.87e-06
step 4350 | train 3.9185 | val 3.8288 | ppl 46.01 | lr 2.86e-06
step 4400 | train 3.9616 | val 3.8251 | ppl 45.84 | lr 2.86e-06
step 4450 | train 3.9483 | val 3.8223 | ppl 45.71 | lr 2.86e-06
step 4500 | train 3.9743 | val 3.7892 | ppl 44.22 | lr 2.85e-06
step 4550 | train 3.9397 | val 3.7710 | ppl 43.42 | lr 2.85e-06
step 4600 | train 3.9329 | val 3.8159 | ppl 45.42 | lr 2.85e-06
step 4650 | train 3.9466 | val 3.8083 | ppl 45.07 | lr 2.84e-06
step 4700 | train 3.9168 | val 3.8017 | ppl 44.78 | lr 2.84e-06
step 4750 | train 3.9811 | val 3.7771 | ppl 43.69 | lr 2.84e-06
step 4800 | train 3.9461 | val 3.8029 | ppl 44.83 | lr 2.83e-06
step 4850 | train 3.9129 | val 3.8056 | ppl 44.95 | lr 2.83e-06
step 4900 | train 3.9621 | val 3.7897 | ppl 44.24 | lr 2.83e-06
step 4950 | train 3.8957 | val 3.7960 | ppl 44.52 | lr 2.82e-06
step 5000 | train 3.9830 | val 3.8054 | ppl 44.95 | lr 2.82e-06
step 5050 | train 3.9770 | val 3.8083 | ppl 45.08 | lr 2.82e-06
step 5100 | train 3.8826 | val 3.7843 | ppl 44.01 | lr 2.81e-06
step 5150 | train 3.9777 | val 3.8162 | ppl 45.43 | lr 2.81e-06
step 5200 | train 3.8871 | val 3.7973 | ppl 44.58 | lr 2.80e-06
step 5250 | train 3.9140 | val 3.7885 | ppl 44.19 | lr 2.80e-06
step 5300 | train 3.8883 | val 3.8013 | ppl 44.76 | lr 2.80e-06
step 5350 | train 3.9023 | val 3.7695 | ppl 43.36 | lr 2.79e-06
step 5400 | train 3.9186 | val 3.7845 | ppl 44.01 | lr 2.79e-06
step 5450 | train 3.9356 | val 3.8116 | ppl 45.22 | lr 2.79e-06
step 5500 | train 3.9351 | val 3.8013 | ppl 44.76 | lr 2.78e-06
step 5550 | train 3.9495 | val 3.8121 | ppl 45.25 | lr 2.78e-06
step 5600 | train 3.9596 | val 3.7977 | ppl 44.60 | lr 2.77e-06
step 5650 | train 3.9276 | val 3.7899 | ppl 44.25 | lr 2.77e-06
step 5700 | train 3.9028 | val 3.7971 | ppl 44.57 | lr 2.77e-06
step 5750 | train 3.9498 | val 3.8106 | ppl 45.18 | lr 2.76e-06
step 5800 | train 3.9571 | val 3.7872 | ppl 44.13 | lr 2.76e-06
step 5850 | train 3.9033 | val 3.7678 | ppl 43.28 | lr 2.75e-06
step 5900 | train 3.8670 | val 3.7583 | ppl 42.88 | lr 2.75e-06
step 5950 | train 3.9545 | val 3.7453 | ppl 42.32 | lr 2.75e-06
step 6000 | train 3.8944 | val 3.7846 | ppl 44.02 | lr 2.74e-06
step 6050 | train 3.9411 | val 3.7884 | ppl 44.19 | lr 2.74e-06
step 6100 | train 3.9753 | val 3.7551 | ppl 42.74 | lr 2.73e-06
step 6150 | train 3.8932 | val 3.7776 | ppl 43.71 | lr 2.73e-06
step 6200 | train 3.9308 | val 3.7567 | ppl 42.81 | lr 2.73e-06
step 6250 | train 3.9100 | val 3.7815 | ppl 43.88 | lr 2.72e-06
step 6300 | train 3.9351 | val 3.7708 | ppl 43.42 | lr 2.72e-06
step 6350 | train 3.8810 | val 3.7790 | ppl 43.77 | lr 2.71e-06
step 6400 | train 3.8953 | val 3.7936 | ppl 44.42 | lr 2.71e-06
step 6450 | train 3.9002 | val 3.7714 | ppl 43.44 | lr 2.70e-06
step 6500 | train 3.9327 | val 3.8054 | ppl 44.94 | lr 2.70e-06
step 6550 | train 3.8615 | val 3.7781 | ppl 43.73 | lr 2.69e-06
step 6600 | train 3.9718 | val 3.7684 | ppl 43.31 | lr 2.69e-06
step 6650 | train 3.8284 | val 3.7844 | ppl 44.01 | lr 2.69e-06
step 6700 | train 3.8946 | val 3.7472 | ppl 42.40 | lr 2.68e-06
step 6750 | train 3.9624 | val 3.7734 | ppl 43.53 | lr 2.68e-06
step 6800 | train 3.9194 | val 3.7588 | ppl 42.90 | lr 2.67e-06
step 6850 | train 3.8920 | val 3.7588 | ppl 42.90 | lr 2.67e-06
step 6900 | train 3.9579 | val 3.7636 | ppl 43.10 | lr 2.66e-06
step 6950 | train 3.8962 | val 3.7932 | ppl 44.40 | lr 2.66e-06
step 7000 | train 3.8906 | val 3.7694 | ppl 43.35 | lr 2.65e-06
step 7050 | train 3.9599 | val 3.7671 | ppl 43.25 | lr 2.65e-06
step 7100 | train 3.9110 | val 3.7757 | ppl 43.63 | lr 2.64e-06
step 7150 | train 3.9297 | val 3.7740 | ppl 43.55 | lr 2.64e-06
step 7200 | train 3.8695 | val 3.7504 | ppl 42.54 | lr 2.63e-06
step 7250 | train 3.9270 | val 3.7697 | ppl 43.37 | lr 2.63e-06
step 7300 | train 3.8962 | val 3.8027 | ppl 44.82 | lr 2.62e-06
step 7350 | train 3.9096 | val 3.7854 | ppl 44.05 | lr 2.62e-06
step 7400 | train 3.8672 | val 3.7576 | ppl 42.85 | lr 2.61e-06
step 7450 | train 3.8744 | val 3.7576 | ppl 42.85 | lr 2.61e-06
step 7500 | train 3.8677 | val 3.7922 | ppl 44.35 | lr 2.60e-06
step 7550 | train 3.9248 | val 3.7709 | ppl 43.42 | lr 2.60e-06
step 7600 | train 3.9053 | val 3.7510 | ppl 42.56 | lr 2.59e-06
step 7650 | train 3.8703 | val 3.7482 | ppl 42.44 | lr 2.59e-06
step 7700 | train 3.9437 | val 3.7559 | ppl 42.77 | lr 2.58e-06
step 7750 | train 3.9411 | val 3.7452 | ppl 42.32 | lr 2.58e-06
step 7800 | train 3.8965 | val 3.7683 | ppl 43.31 | lr 2.57e-06
step 7850 | train 3.8747 | val 3.7539 | ppl 42.69 | lr 2.57e-06
step 7900 | train 3.8583 | val 3.7722 | ppl 43.48 | lr 2.56e-06
step 7950 | train 3.8743 | val 3.7391 | ppl 42.06 | lr 2.56e-06
step 8000 | train 3.8916 | val 3.7572 | ppl 42.83 | lr 2.55e-06
step 8050 | train 3.9158 | val 3.7712 | ppl 43.43 | lr 2.55e-06
step 8100 | train 3.9064 | val 3.7416 | ppl 42.17 | lr 2.54e-06
step 8150 | train 3.9310 | val 3.7406 | ppl 42.12 | lr 2.54e-06
step 8200 | train 3.9145 | val 3.7477 | ppl 42.42 | lr 2.53e-06
step 8250 | train 3.8880 | val 3.7754 | ppl 43.61 | lr 2.53e-06
step 8300 | train 3.9032 | val 3.7594 | ppl 42.92 | lr 2.52e-06
step 8350 | train 3.8916 | val 3.7568 | ppl 42.81 | lr 2.52e-06
