training log: output/train_20260401_172648.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5.pt', 'init_from': 'models/sr_transformer_512x20_acc5.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 20000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5.pt
step 3550 | train 4.0475 | val 4.1942 | ppl 66.30 | lr 2.99e-05
step 3600 | train 3.9701 | val 4.1639 | ppl 64.32 | lr 2.99e-05
step 3650 | train 4.1571 | val 4.1633 | ppl 64.28 | lr 2.99e-05
step 3700 | train 4.0651 | val 4.1681 | ppl 64.59 | lr 2.99e-05
step 3750 | train 4.0967 | val 4.1833 | ppl 65.58 | lr 2.99e-05
step 3800 | train 4.1924 | val 4.1575 | ppl 63.91 | lr 2.99e-05
step 3850 | train 4.1005 | val 4.1670 | ppl 64.52 | lr 2.99e-05
step 3900 | train 3.8817 | val 4.1604 | ppl 64.10 | lr 2.99e-05
step 3950 | train 4.0914 | val 4.1743 | ppl 65.00 | lr 2.99e-05
step 4000 | train 4.2698 | val 4.1327 | ppl 62.34 | lr 2.99e-05
step 4050 | train 3.9710 | val 4.1742 | ppl 64.99 | lr 2.99e-05
step 4100 | train 3.9929 | val 4.1308 | ppl 62.23 | lr 2.99e-05
step 4150 | train 4.2353 | val 4.1573 | ppl 63.90 | lr 2.99e-05
step 4200 | train 4.1311 | val 4.1557 | ppl 63.80 | lr 2.99e-05
step 4250 | train 4.1551 | val 4.1813 | ppl 65.45 | lr 2.99e-05
step 4300 | train 3.9805 | val 4.1443 | ppl 63.07 | lr 2.99e-05
step 4350 | train 4.0576 | val 4.1928 | ppl 66.21 | lr 2.99e-05
step 4400 | train 3.9988 | val 4.1798 | ppl 65.36 | lr 2.99e-05
step 4450 | train 4.2092 | val 4.1790 | ppl 65.30 | lr 2.99e-05
step 4500 | train 4.1081 | val 4.1762 | ppl 65.12 | lr 2.99e-05
step 4550 | train 4.1718 | val 4.1249 | ppl 61.86 | lr 2.99e-05
step 4600 | train 4.1623 | val 4.1240 | ppl 61.81 | lr 2.99e-05
step 4650 | train 4.1400 | val 4.1255 | ppl 61.90 | lr 2.99e-05
step 4700 | train 4.0540 | val 4.1296 | ppl 62.15 | lr 2.99e-05
step 4750 | train 4.2224 | val 4.1694 | ppl 64.68 | lr 2.98e-05
step 4800 | train 3.8981 | val 4.1648 | ppl 64.38 | lr 2.98e-05
step 4850 | train 4.1745 | val 4.1444 | ppl 63.08 | lr 2.98e-05
step 4900 | train 3.9169 | val 4.1565 | ppl 63.85 | lr 2.98e-05
step 4950 | train 4.0563 | val 4.1624 | ppl 64.23 | lr 2.98e-05
step 5000 | train 3.9971 | val 4.1442 | ppl 63.07 | lr 2.98e-05
step 5050 | train 4.1142 | val 4.1760 | ppl 65.10 | lr 2.98e-05
step 5100 | train 4.0623 | val 4.1716 | ppl 64.82 | lr 2.98e-05
step 5150 | train 4.1674 | val 4.1352 | ppl 62.50 | lr 2.98e-05
step 5200 | train 4.0900 | val 4.1780 | ppl 65.23 | lr 2.98e-05
step 5250 | train 4.1365 | val 4.1400 | ppl 62.80 | lr 2.98e-05
step 5300 | train 4.1362 | val 4.1743 | ppl 64.99 | lr 2.98e-05
step 5350 | train 4.0403 | val 4.1565 | ppl 63.85 | lr 2.98e-05
step 5400 | train 3.9912 | val 4.1519 | ppl 63.56 | lr 2.98e-05
step 5450 | train 3.9384 | val 4.1525 | ppl 63.59 | lr 2.98e-05
