training log: output/train_20260407_184936.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc40_3e-05LR.pt', 'init_from': 'models/sr_transformer_512x20_acc20_1e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 60000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 40, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc20_1e-04LR.pt
step 14000 | train 3.4049 | val 3.6472 | ppl 38.37 | lr 2.65e-05
step 14200 | train 3.5680 | val 3.6470 | ppl 38.36 | lr 2.64e-05
step 14400 | train 3.3847 | val 3.6249 | ppl 37.52 | lr 2.63e-05
step 14600 | train 3.4300 | val 3.6050 | ppl 36.78 | lr 2.62e-05
step 14800 | train 3.3358 | val 3.6034 | ppl 36.72 | lr 2.61e-05
step 15000 | train 3.5534 | val 3.6523 | ppl 38.56 | lr 2.60e-05
step 15200 | train 3.4863 | val 3.6271 | ppl 37.60 | lr 2.59e-05
step 15400 | train 3.4545 | val 3.6307 | ppl 37.74 | lr 2.58e-05
step 15600 | train 3.4917 | val 3.6315 | ppl 37.77 | lr 2.57e-05
step 15800 | train 3.4712 | val 3.6188 | ppl 37.29 | lr 2.56e-05
step 16000 | train 3.4040 | val 3.6078 | ppl 36.88 | lr 2.55e-05
step 16200 | train 3.3454 | val 3.6409 | ppl 38.12 | lr 2.54e-05
step 16400 | train 3.5188 | val 3.6124 | ppl 37.05 | lr 2.53e-05
step 16600 | train 3.3735 | val 3.5927 | ppl 36.33 | lr 2.52e-05
step 16800 | train 3.5157 | val 3.6486 | ppl 38.42 | lr 2.51e-05
step 17000 | train 3.6294 | val 3.6038 | ppl 36.74 | lr 2.50e-05
step 17200 | train 3.4330 | val 3.6487 | ppl 38.43 | lr 2.49e-05
step 17400 | train 3.4459 | val 3.6442 | ppl 38.25 | lr 2.48e-05
step 17600 | train 3.5775 | val 3.6182 | ppl 37.27 | lr 2.47e-05
step 17800 | train 3.2408 | val 3.5958 | ppl 36.44 | lr 2.45e-05
step 18000 | train 3.5129 | val 3.6061 | ppl 36.82 | lr 2.44e-05
step 18200 | train 3.3949 | val 3.6377 | ppl 38.00 | lr 2.43e-05
step 18400 | train 3.4976 | val 3.6449 | ppl 38.28 | lr 2.42e-05
step 18600 | train 3.4954 | val 3.6146 | ppl 37.14 | lr 2.41e-05
step 18800 | train 3.5803 | val 3.6450 | ppl 38.28 | lr 2.40e-05
step 19000 | train 3.5889 | val 3.6328 | ppl 37.82 | lr 2.39e-05
step 19200 | train 3.4417 | val 3.6430 | ppl 38.21 | lr 2.37e-05
step 19400 | train 3.5728 | val 3.5871 | ppl 36.13 | lr 2.36e-05
step 19600 | train 3.3098 | val 3.6055 | ppl 36.80 | lr 2.35e-05
step 19800 | train 3.3297 | val 3.6195 | ppl 37.32 | lr 2.34e-05
step 20000 | train 3.4571 | val 3.6580 | ppl 38.79 | lr 2.33e-05
step 20200 | train 3.6028 | val 3.5963 | ppl 36.46 | lr 2.31e-05
step 20400 | train 3.5861 | val 3.5958 | ppl 36.44 | lr 2.30e-05
step 20600 | train 3.4161 | val 3.6050 | ppl 36.78 | lr 2.29e-05
step 20800 | train 3.5978 | val 3.6492 | ppl 38.44 | lr 2.28e-05
step 21000 | train 3.4146 | val 3.6552 | ppl 38.68 | lr 2.26e-05
step 21200 | train 3.6879 | val 3.6082 | ppl 36.90 | lr 2.25e-05
step 21400 | train 3.4809 | val 3.6045 | ppl 36.76 | lr 2.24e-05
step 21600 | train 3.5775 | val 3.6353 | ppl 37.91 | lr 2.22e-05
step 21800 | train 3.4854 | val 3.6235 | ppl 37.47 | lr 2.21e-05
step 22000 | train 3.4963 | val 3.6355 | ppl 37.92 | lr 2.20e-05
step 22200 | train 3.4749 | val 3.5760 | ppl 35.73 | lr 2.19e-05
step 22400 | train 3.4417 | val 3.5961 | ppl 36.46 | lr 2.17e-05
step 22600 | train 3.4842 | val 3.5979 | ppl 36.52 | lr 2.16e-05
step 22800 | train 3.4662 | val 3.6315 | ppl 37.77 | lr 2.15e-05
step 23000 | train 3.5537 | val 3.6852 | ppl 39.85 | lr 2.13e-05
step 23200 | train 3.4691 | val 3.6432 | ppl 38.21 | lr 2.12e-05
step 23400 | train 3.5206 | val 3.5903 | ppl 36.25 | lr 2.11e-05
step 23600 | train 3.5191 | val 3.6395 | ppl 38.07 | lr 2.09e-05
step 23800 | train 3.4758 | val 3.6313 | ppl 37.76 | lr 2.08e-05
step 24000 | train 3.4593 | val 3.6220 | ppl 37.41 | lr 2.07e-05
step 24200 | train 3.5196 | val 3.6196 | ppl 37.32 | lr 2.05e-05
step 24400 | train 3.5198 | val 3.6402 | ppl 38.10 | lr 2.04e-05
step 24600 | train 3.3454 | val 3.6444 | ppl 38.26 | lr 2.03e-05
step 24800 | train 3.4738 | val 3.6175 | ppl 37.24 | lr 2.01e-05
step 25000 | train 3.5144 | val 3.6169 | ppl 37.22 | lr 2.00e-05
step 25200 | train 3.4502 | val 3.6304 | ppl 37.73 | lr 1.99e-05
step 25400 | train 3.2866 | val 3.6234 | ppl 37.46 | lr 1.97e-05
step 25600 | train 3.5880 | val 3.6204 | ppl 37.35 | lr 1.96e-05
step 25800 | train 3.4500 | val 3.6054 | ppl 36.80 | lr 1.94e-05
step 26000 | train 3.5340 | val 3.6378 | ppl 38.01 | lr 1.93e-05
step 26200 | train 3.5246 | val 3.6059 | ppl 36.81 | lr 1.92e-05
step 26400 | train 3.2871 | val 3.6284 | ppl 37.65 | lr 1.90e-05
step 26600 | train 3.5062 | val 3.6166 | ppl 37.21 | lr 1.89e-05
step 26800 | train 3.5313 | val 3.6270 | ppl 37.60 | lr 1.88e-05
step 27000 | train 3.3458 | val 3.6338 | ppl 37.85 | lr 1.86e-05
step 27200 | train 3.5045 | val 3.6331 | ppl 37.83 | lr 1.85e-05
step 27400 | train 3.4107 | val 3.5929 | ppl 36.34 | lr 1.83e-05
step 27600 | train 3.4590 | val 3.6569 | ppl 38.74 | lr 1.82e-05
step 27800 | train 3.5255 | val 3.6153 | ppl 37.16 | lr 1.81e-05
step 28000 | train 3.4089 | val 3.6231 | ppl 37.45 | lr 1.79e-05
step 28200 | train 3.3822 | val 3.6382 | ppl 38.02 | lr 1.78e-05
step 28400 | train 3.6687 | val 3.6093 | ppl 36.94 | lr 1.76e-05
step 28600 | train 3.6398 | val 3.5977 | ppl 36.51 | lr 1.75e-05
step 28800 | train 3.5197 | val 3.6286 | ppl 37.66 | lr 1.73e-05
step 29000 | train 3.4815 | val 3.6206 | ppl 37.36 | lr 1.72e-05
step 29200 | train 3.5268 | val 3.6152 | ppl 37.16 | lr 1.71e-05
step 29400 | train 3.6474 | val 3.6475 | ppl 38.38 | lr 1.69e-05
step 29600 | train 3.5433 | val 3.6177 | ppl 37.25 | lr 1.68e-05
step 29800 | train 3.2462 | val 3.6276 | ppl 37.62 | lr 1.66e-05
step 30000 | train 3.2390 | val 3.6300 | ppl 37.71 | lr 1.65e-05
step 30200 | train 3.4948 | val 3.6582 | ppl 38.79 | lr 1.64e-05
step 30400 | train 3.6097 | val 3.6394 | ppl 38.07 | lr 1.62e-05
step 30600 | train 3.6029 | val 3.6213 | ppl 37.39 | lr 1.61e-05
step 30800 | train 3.5114 | val 3.6371 | ppl 37.98 | lr 1.59e-05
step 31000 | train 3.4605 | val 3.6169 | ppl 37.22 | lr 1.58e-05
step 31200 | train 3.5905 | val 3.6466 | ppl 38.35 | lr 1.57e-05
step 31400 | train 3.4914 | val 3.6607 | ppl 38.89 | lr 1.55e-05
step 31600 | train 3.6022 | val 3.6192 | ppl 37.31 | lr 1.54e-05
step 31800 | train 3.3495 | val 3.5724 | ppl 35.60 | lr 1.52e-05
step 32000 | train 3.6682 | val 3.6554 | ppl 38.68 | lr 1.51e-05
step 32200 | train 3.5520 | val 3.6250 | ppl 37.52 | lr 1.49e-05
step 32400 | train 3.6396 | val 3.6241 | ppl 37.49 | lr 1.48e-05
step 32600 | train 3.3925 | val 3.6021 | ppl 36.68 | lr 1.47e-05
step 32800 | train 3.6150 | val 3.6747 | ppl 39.44 | lr 1.45e-05
step 33000 | train 3.4952 | val 3.6217 | ppl 37.40 | lr 1.44e-05
step 33200 | train 3.6120 | val 3.6318 | ppl 37.78 | lr 1.42e-05
step 33400 | train 3.4461 | val 3.6217 | ppl 37.40 | lr 1.41e-05
step 33600 | train 3.4931 | val 3.6409 | ppl 38.13 | lr 1.40e-05
step 33800 | train 3.5292 | val 3.5837 | ppl 36.01 | lr 1.38e-05
