training log: output/train_20260403_205642.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc20_2e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc10_2e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 100000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 20, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc10_2e-04LR.pt
step 14000 | train 3.5595 | val 3.7618 | ppl 43.03 | lr 1.00e-04
step 14200 | train 3.7079 | val 3.7646 | ppl 43.15 | lr 1.00e-04
step 14400 | train 3.5268 | val 3.7382 | ppl 42.02 | lr 1.00e-04
step 14600 | train 3.5761 | val 3.7209 | ppl 41.30 | lr 1.00e-04
step 14800 | train 3.4819 | val 3.7206 | ppl 41.29 | lr 1.00e-04
step 15000 | train 3.6812 | val 3.7661 | ppl 43.21 | lr 1.00e-04
step 15200 | train 3.6240 | val 3.7404 | ppl 42.12 | lr 1.00e-04
step 15400 | train 3.5930 | val 3.7456 | ppl 42.33 | lr 1.00e-04
step 15600 | train 3.6227 | val 3.7445 | ppl 42.29 | lr 1.00e-04
step 15800 | train 3.6224 | val 3.7351 | ppl 41.89 | lr 1.00e-04
step 16000 | train 3.5371 | val 3.7239 | ppl 41.42 | lr 1.00e-04
step 16200 | train 3.4955 | val 3.7566 | ppl 42.80 | lr 1.00e-04
step 16400 | train 3.6593 | val 3.7287 | ppl 41.63 | lr 1.00e-04
step 16600 | train 3.5003 | val 3.7056 | ppl 40.67 | lr 1.00e-04
step 16800 | train 3.6557 | val 3.7636 | ppl 43.10 | lr 1.00e-04
step 17000 | train 3.7647 | val 3.7253 | ppl 41.48 | lr 1.00e-04
step 17200 | train 3.5651 | val 3.7603 | ppl 42.96 | lr 1.00e-04
step 17400 | train 3.5816 | val 3.7595 | ppl 42.93 | lr 1.00e-04
step 17600 | train 3.7148 | val 3.7366 | ppl 41.96 | lr 1.00e-04
step 17800 | train 3.3775 | val 3.7163 | ppl 41.11 | lr 1.00e-04
step 18000 | train 3.6524 | val 3.7183 | ppl 41.19 | lr 1.00e-04
step 18200 | train 3.5388 | val 3.7526 | ppl 42.63 | lr 1.00e-04
step 18400 | train 3.6346 | val 3.7578 | ppl 42.85 | lr 1.00e-04
step 18600 | train 3.6342 | val 3.7270 | ppl 41.55 | lr 1.00e-04
step 18800 | train 3.7181 | val 3.7538 | ppl 42.68 | lr 1.00e-04
step 19000 | train 3.7263 | val 3.7485 | ppl 42.46 | lr 1.00e-04
