training log: output/train_20260331_202920.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20.pt', 'init_from': None, 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0003, 'max_steps': 10000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 1, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
step 3600 | train 4.6067 | val 4.7337 | ppl 113.72 | lr 2.30e-04
step 3650 | train 4.7301 | val 4.7193 | ppl 112.09 | lr 2.28e-04
step 3700 | train 4.6286 | val 4.7278 | ppl 113.05 | lr 2.26e-04
step 3750 | train 4.6813 | val 4.7324 | ppl 113.56 | lr 2.24e-04
step 3800 | train 4.7494 | val 4.7106 | ppl 111.12 | lr 2.22e-04
step 3850 | train 4.6774 | val 4.7075 | ppl 110.78 | lr 2.20e-04
step 3900 | train 4.5531 | val 4.6993 | ppl 109.87 | lr 2.18e-04
step 3950 | train 4.6549 | val 4.6977 | ppl 109.69 | lr 2.16e-04
step 4000 | train 4.8271 | val 4.6589 | ppl 105.51 | lr 2.14e-04
step 4050 | train 4.5491 | val 4.7023 | ppl 110.20 | lr 2.12e-04
step 4100 | train 4.5619 | val 4.6497 | ppl 104.56 | lr 2.10e-04
step 4150 | train 4.7278 | val 4.6701 | ppl 106.71 | lr 2.08e-04
step 4200 | train 4.6365 | val 4.6671 | ppl 106.39 | lr 2.06e-04
step 4250 | train 4.6703 | val 4.6806 | ppl 107.84 | lr 2.04e-04
step 4300 | train 4.5330 | val 4.6263 | ppl 102.14 | lr 2.02e-04
step 4350 | train 4.5690 | val 4.6763 | ppl 107.37 | lr 2.00e-04
step 4400 | train 4.5192 | val 4.6598 | ppl 105.62 | lr 1.97e-04
step 4450 | train 4.7266 | val 4.6511 | ppl 104.70 | lr 1.95e-04
step 4500 | train 4.6079 | val 4.6369 | ppl 103.22 | lr 1.93e-04
step 4550 | train 4.6534 | val 4.5861 | ppl 98.11 | lr 1.91e-04
step 4600 | train 4.6310 | val 4.5783 | ppl 97.35 | lr 1.89e-04
step 4650 | train 4.6211 | val 4.5829 | ppl 97.80 | lr 1.87e-04
step 4700 | train 4.5461 | val 4.5804 | ppl 97.56 | lr 1.85e-04
step 4750 | train 4.6740 | val 4.6153 | ppl 101.02 | lr 1.82e-04
