training log: output/train_20260402_193724.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc10_2e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc5_5e-05LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0002, 'max_steps': 60000, 'warmup_steps': 0, 'eval_every': 100, 'acc_steps': 10, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5_5e-05LR.pt
step 1 | train 3.8076 | val 3.8591 | ppl 47.42 | lr 2.00e-04
step 100 | train 3.8153 | val 3.9301 | ppl 50.91 | lr 2.00e-04
step 200 | train 3.8107 | val 3.8752 | ppl 48.19 | lr 2.00e-04
step 300 | train 3.8683 | val 3.8945 | ppl 49.13 | lr 2.00e-04
step 400 | train 3.9588 | val 3.8822 | ppl 48.53 | lr 2.00e-04
step 500 | train 3.8114 | val 3.8759 | ppl 48.23 | lr 2.00e-04
step 600 | train 3.7061 | val 3.9121 | ppl 50.01 | lr 2.00e-04
step 700 | train 3.8901 | val 3.9251 | ppl 50.66 | lr 2.00e-04
step 800 | train 3.7868 | val 3.9048 | ppl 49.64 | lr 2.00e-04
step 900 | train 3.8455 | val 3.8814 | ppl 48.49 | lr 2.00e-04
step 1000 | train 3.7692 | val 3.8835 | ppl 48.59 | lr 2.00e-04
step 1100 | train 3.8122 | val 3.9067 | ppl 49.74 | lr 2.00e-04
step 1200 | train 3.7451 | val 3.8574 | ppl 47.34 | lr 2.00e-04
step 1300 | train 3.6407 | val 3.8519 | ppl 47.08 | lr 2.00e-04
step 1400 | train 3.7687 | val 3.9108 | ppl 49.94 | lr 2.00e-04
step 1500 | train 3.8778 | val 3.8906 | ppl 48.94 | lr 2.00e-04
step 1600 | train 3.9609 | val 3.8699 | ppl 47.94 | lr 2.00e-04
step 1700 | train 3.7079 | val 3.8928 | ppl 49.05 | lr 2.00e-04
step 1800 | train 3.7728 | val 3.8800 | ppl 48.42 | lr 2.00e-04
step 1900 | train 3.9128 | val 3.8894 | ppl 48.88 | lr 2.00e-04
step 2000 | train 3.8603 | val 3.8988 | ppl 49.35 | lr 2.00e-04
step 2100 | train 4.0442 | val 3.8868 | ppl 48.75 | lr 2.00e-04
step 2200 | train 3.7654 | val 3.8790 | ppl 48.38 | lr 2.00e-04
step 2300 | train 3.5976 | val 3.8712 | ppl 48.00 | lr 2.00e-04
step 2400 | train 3.7402 | val 3.8674 | ppl 47.82 | lr 2.00e-04
step 2500 | train 3.7468 | val 3.8617 | ppl 47.55 | lr 2.00e-04
step 2600 | train 3.8293 | val 3.8629 | ppl 47.60 | lr 2.00e-04
step 2700 | train 3.6919 | val 3.9099 | ppl 49.89 | lr 2.00e-04
step 2800 | train 3.8411 | val 3.9028 | ppl 49.54 | lr 2.00e-04
step 2900 | train 3.8299 | val 3.9025 | ppl 49.53 | lr 2.00e-04
step 3000 | train 3.6621 | val 3.8873 | ppl 48.78 | lr 2.00e-04
step 3100 | train 3.8245 | val 3.8806 | ppl 48.45 | lr 2.00e-04
step 3200 | train 3.8843 | val 3.8864 | ppl 48.74 | lr 2.00e-04
step 3300 | train 3.8842 | val 3.8788 | ppl 48.37 | lr 2.00e-04
step 3400 | train 3.6847 | val 3.8864 | ppl 48.73 | lr 2.00e-04
step 3500 | train 3.7059 | val 3.8947 | ppl 49.14 | lr 2.00e-04
step 3600 | train 3.7628 | val 3.9055 | ppl 49.67 | lr 2.00e-04
step 3700 | train 3.9567 | val 3.8799 | ppl 48.42 | lr 2.00e-04
step 3800 | train 3.8479 | val 3.9046 | ppl 49.63 | lr 2.00e-04
step 3900 | train 3.8534 | val 3.8923 | ppl 49.03 | lr 2.00e-04
step 4000 | train 3.8388 | val 3.9254 | ppl 50.67 | lr 2.00e-04
step 4100 | train 3.8746 | val 3.9142 | ppl 50.11 | lr 2.00e-04
step 4200 | train 3.8448 | val 3.9081 | ppl 49.80 | lr 2.00e-04
step 4300 | train 3.6699 | val 3.8859 | ppl 48.71 | lr 2.00e-04
step 4400 | train 3.8648 | val 3.8714 | ppl 48.01 | lr 2.00e-04
step 4500 | train 3.7398 | val 3.8772 | ppl 48.29 | lr 2.00e-04
step 4600 | train 3.8497 | val 3.8870 | ppl 48.76 | lr 2.00e-04
step 4700 | train 3.7223 | val 3.8832 | ppl 48.58 | lr 2.00e-04
step 4800 | train 3.7986 | val 3.8935 | ppl 49.08 | lr 2.00e-04
step 4900 | train 3.7244 | val 3.8650 | ppl 47.71 | lr 2.00e-04
step 5000 | train 3.6983 | val 3.9275 | ppl 50.78 | lr 2.00e-04
step 5100 | train 3.8809 | val 3.9146 | ppl 50.13 | lr 2.00e-04
step 5200 | train 3.7028 | val 3.8942 | ppl 49.12 | lr 2.00e-04
step 5300 | train 3.6910 | val 3.8880 | ppl 48.81 | lr 2.00e-04
step 5400 | train 3.8435 | val 3.9003 | ppl 49.42 | lr 2.00e-04
step 5500 | train 3.8681 | val 3.8967 | ppl 49.24 | lr 2.00e-04
step 5600 | train 3.7391 | val 3.8978 | ppl 49.29 | lr 2.00e-04
step 5700 | train 3.8173 | val 3.8707 | ppl 47.97 | lr 2.00e-04
step 5800 | train 3.8309 | val 3.8715 | ppl 48.02 | lr 2.00e-04
step 5900 | train 3.9311 | val 3.8917 | ppl 48.99 | lr 2.00e-04
step 6000 | train 3.6845 | val 3.8779 | ppl 48.32 | lr 2.00e-04
step 6100 | train 3.8318 | val 3.9088 | ppl 49.84 | lr 2.00e-04
step 6200 | train 3.6651 | val 3.8659 | ppl 47.75 | lr 2.00e-04
step 6300 | train 3.7345 | val 3.8771 | ppl 48.28 | lr 2.00e-04
step 6400 | train 3.7968 | val 3.9234 | ppl 50.57 | lr 2.00e-04
step 6500 | train 3.7217 | val 3.8663 | ppl 47.77 | lr 2.00e-04
step 6600 | train 3.8686 | val 3.9147 | ppl 50.13 | lr 2.00e-04
