training log: output/train_20260406_011042.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc20_3e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc20_2e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0003, 'max_steps': 35000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 20, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc20_2e-04LR.pt
step 1 | train 3.6009 | val 3.6718 | ppl 39.32 | lr 3.00e-04
step 200 | train 3.4352 | val 3.7286 | ppl 41.62 | lr 3.00e-04
step 400 | train 3.4485 | val 3.7171 | ppl 41.15 | lr 3.00e-04
step 600 | train 3.5328 | val 3.7195 | ppl 41.25 | lr 3.00e-04
step 800 | train 3.6801 | val 3.7273 | ppl 41.57 | lr 3.00e-04
step 1000 | train 3.6388 | val 3.7140 | ppl 41.02 | lr 3.00e-04
step 1200 | train 3.5764 | val 3.6834 | ppl 39.78 | lr 3.00e-04
step 1400 | train 3.4634 | val 3.7062 | ppl 40.70 | lr 3.00e-04
step 1600 | train 3.5770 | val 3.6810 | ppl 39.69 | lr 3.00e-04
step 1800 | train 3.6485 | val 3.7177 | ppl 41.17 | lr 3.00e-04
step 2000 | train 3.4017 | val 3.6901 | ppl 40.05 | lr 3.00e-04
step 2200 | train 3.6597 | val 3.6951 | ppl 40.25 | lr 3.00e-04
step 2400 | train 3.4906 | val 3.7307 | ppl 41.71 | lr 3.00e-04
step 2600 | train 3.5440 | val 3.7128 | ppl 40.97 | lr 3.00e-04
step 2800 | train 3.7305 | val 3.7425 | ppl 42.20 | lr 3.00e-04
step 3000 | train 3.6312 | val 3.7463 | ppl 42.36 | lr 3.00e-04
step 3200 | train 3.5751 | val 3.7048 | ppl 40.64 | lr 3.00e-04
step 3400 | train 3.6325 | val 3.7191 | ppl 41.23 | lr 3.00e-04
step 3600 | train 3.8225 | val 3.7123 | ppl 40.95 | lr 3.00e-04
step 3800 | train 3.6394 | val 3.6796 | ppl 39.63 | lr 3.00e-04
step 4000 | train 3.6104 | val 3.7139 | ppl 41.01 | lr 3.00e-04
step 4200 | train 3.6047 | val 3.6894 | ppl 40.02 | lr 3.00e-04
step 4400 | train 3.6990 | val 3.6894 | ppl 40.02 | lr 3.00e-04
step 4600 | train 3.7785 | val 3.7131 | ppl 40.98 | lr 3.00e-04
step 4800 | train 3.7916 | val 3.7274 | ppl 41.57 | lr 3.00e-04
step 5000 | train 3.6248 | val 3.7004 | ppl 40.46 | lr 3.00e-04
step 5200 | train 3.6041 | val 3.7150 | ppl 41.06 | lr 3.00e-04
step 5400 | train 3.3968 | val 3.6860 | ppl 39.88 | lr 3.00e-04
