training log: output/train_20260407_113427.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc20_1e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc20_1e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 30000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 20, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc20_1e-04LR.pt
step 1 | train 3.5157 | val 3.6050 | ppl 36.78 | lr 1.00e-04
step 200 | train 3.3247 | val 3.6385 | ppl 38.04 | lr 1.00e-04
step 400 | train 3.3542 | val 3.6397 | ppl 38.08 | lr 1.00e-04
step 600 | train 3.4378 | val 3.6461 | ppl 38.32 | lr 1.00e-04
step 800 | train 3.5852 | val 3.6516 | ppl 38.54 | lr 1.00e-04
step 1000 | train 3.5568 | val 3.6425 | ppl 38.19 | lr 1.00e-04
step 1200 | train 3.4971 | val 3.6118 | ppl 37.03 | lr 1.00e-04
step 1400 | train 3.3748 | val 3.6344 | ppl 37.88 | lr 1.00e-04
step 1600 | train 3.4919 | val 3.6038 | ppl 36.74 | lr 1.00e-04
step 1800 | train 3.5591 | val 3.6424 | ppl 38.18 | lr 1.00e-04
step 2000 | train 3.3100 | val 3.6168 | ppl 37.22 | lr 1.00e-04
step 2200 | train 3.5711 | val 3.6202 | ppl 37.35 | lr 1.00e-04
step 2400 | train 3.3933 | val 3.6567 | ppl 38.73 | lr 1.00e-04
step 2600 | train 3.4516 | val 3.6402 | ppl 38.10 | lr 1.00e-04
step 2800 | train 3.6378 | val 3.6681 | ppl 39.18 | lr 1.00e-04
step 3000 | train 3.5436 | val 3.6742 | ppl 39.42 | lr 1.00e-04
step 3200 | train 3.4732 | val 3.6297 | ppl 37.70 | lr 1.00e-04
step 3400 | train 3.5429 | val 3.6459 | ppl 38.32 | lr 1.00e-04
step 3600 | train 3.7400 | val 3.6397 | ppl 38.08 | lr 1.00e-04
step 3800 | train 3.5532 | val 3.6024 | ppl 36.69 | lr 1.00e-04
step 4000 | train 3.5207 | val 3.6377 | ppl 38.01 | lr 1.00e-04
step 4200 | train 3.5065 | val 3.6140 | ppl 37.11 | lr 1.00e-04
step 4400 | train 3.6042 | val 3.6158 | ppl 37.18 | lr 1.00e-04
step 4600 | train 3.6871 | val 3.6356 | ppl 37.93 | lr 1.00e-04
step 4800 | train 3.7046 | val 3.6536 | ppl 38.61 | lr 1.00e-04
step 5000 | train 3.5276 | val 3.6219 | ppl 37.41 | lr 1.00e-04
step 5200 | train 3.5050 | val 3.6421 | ppl 38.17 | lr 1.00e-04
step 5400 | train 3.3092 | val 3.6099 | ppl 36.96 | lr 1.00e-04
step 5600 | train 3.6094 | val 3.5820 | ppl 35.94 | lr 1.00e-04
step 5800 | train 3.5515 | val 3.6256 | ppl 37.55 | lr 1.00e-04
step 6000 | train 3.3515 | val 3.6365 | ppl 37.96 | lr 1.00e-04
step 6200 | train 3.4461 | val 3.6688 | ppl 39.20 | lr 1.00e-04
step 6400 | train 3.5665 | val 3.6280 | ppl 37.64 | lr 1.00e-04
