training log: output/train_20260401_225533.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'init_from': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 60000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5_bigLR.pt
step 3550 | train 3.9942 | val 4.1477 | ppl 63.29 | lr 1.00e-04
step 3600 | train 3.9102 | val 4.1155 | ppl 61.28 | lr 1.00e-04
step 3650 | train 4.1112 | val 4.1142 | ppl 61.20 | lr 1.00e-04
step 3700 | train 4.0178 | val 4.1237 | ppl 61.78 | lr 1.00e-04
step 3750 | train 4.0489 | val 4.1313 | ppl 62.26 | lr 1.00e-04
step 3800 | train 4.1502 | val 4.1071 | ppl 60.77 | lr 1.00e-04
step 3850 | train 4.0506 | val 4.1188 | ppl 61.49 | lr 1.00e-04
step 3900 | train 3.8073 | val 4.1154 | ppl 61.28 | lr 1.00e-04
step 3950 | train 4.0368 | val 4.1272 | ppl 62.00 | lr 1.00e-04
step 4000 | train 4.2142 | val 4.0828 | ppl 59.31 | lr 1.00e-04
step 4050 | train 3.9162 | val 4.1230 | ppl 61.75 | lr 1.00e-04
step 4100 | train 3.9409 | val 4.0835 | ppl 59.35 | lr 1.00e-04
step 4150 | train 4.1766 | val 4.1079 | ppl 60.82 | lr 1.00e-04
step 4200 | train 4.0838 | val 4.1055 | ppl 60.67 | lr 1.00e-04
step 4250 | train 4.0965 | val 4.1353 | ppl 62.51 | lr 1.00e-04
step 4300 | train 3.9273 | val 4.0964 | ppl 60.12 | lr 1.00e-04
step 4350 | train 3.9981 | val 4.1387 | ppl 62.72 | lr 1.00e-04
step 4400 | train 3.9439 | val 4.1314 | ppl 62.27 | lr 1.00e-04
step 4450 | train 4.1593 | val 4.1277 | ppl 62.04 | lr 1.00e-04
step 4500 | train 4.0589 | val 4.1262 | ppl 61.94 | lr 1.00e-04
step 4550 | train 4.1223 | val 4.0749 | ppl 58.84 | lr 9.99e-05
step 4600 | train 4.1066 | val 4.0741 | ppl 58.80 | lr 9.99e-05
step 4650 | train 4.0812 | val 4.0771 | ppl 58.97 | lr 9.99e-05
