training log: output/train_20260403_160654.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc10_2e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc10_2e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0002, 'max_steps': 20000, 'warmup_steps': 0, 'eval_every': 100, 'acc_steps': 10, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc10_2e-04LR.pt
step 1 | train 3.7104 | val 3.7577 | ppl 42.85 | lr 2.00e-04
step 100 | train 3.7008 | val 3.8212 | ppl 45.66 | lr 2.00e-04
step 200 | train 3.6965 | val 3.7679 | ppl 43.29 | lr 2.00e-04
step 300 | train 3.7548 | val 3.7819 | ppl 43.90 | lr 2.00e-04
step 400 | train 3.8402 | val 3.7732 | ppl 43.52 | lr 2.00e-04
step 500 | train 3.7019 | val 3.7672 | ppl 43.26 | lr 2.00e-04
step 600 | train 3.5837 | val 3.8004 | ppl 44.72 | lr 2.00e-04
step 700 | train 3.7724 | val 3.8148 | ppl 45.37 | lr 2.00e-04
step 800 | train 3.6711 | val 3.7954 | ppl 44.50 | lr 2.00e-04
step 900 | train 3.7397 | val 3.7721 | ppl 43.47 | lr 2.00e-04
step 1000 | train 3.6456 | val 3.7722 | ppl 43.47 | lr 2.00e-04
step 1100 | train 3.6972 | val 3.7971 | ppl 44.57 | lr 2.00e-04
step 1200 | train 3.6307 | val 3.7451 | ppl 42.31 | lr 2.00e-04
step 1300 | train 3.5059 | val 3.7402 | ppl 42.10 | lr 2.00e-04
step 1400 | train 3.6630 | val 3.8024 | ppl 44.81 | lr 2.00e-04
step 1500 | train 3.7614 | val 3.7795 | ppl 43.79 | lr 2.00e-04
step 1600 | train 3.8446 | val 3.7635 | ppl 43.10 | lr 2.00e-04
step 1700 | train 3.5918 | val 3.7782 | ppl 43.74 | lr 2.00e-04
step 1800 | train 3.6642 | val 3.7649 | ppl 43.16 | lr 2.00e-04
step 1900 | train 3.7993 | val 3.7826 | ppl 43.93 | lr 2.00e-04
step 2000 | train 3.7321 | val 3.7848 | ppl 44.03 | lr 2.00e-04
step 2100 | train 3.9319 | val 3.7748 | ppl 43.59 | lr 2.00e-04
step 2200 | train 3.6521 | val 3.7694 | ppl 43.35 | lr 2.00e-04
step 2300 | train 3.4520 | val 3.7584 | ppl 42.88 | lr 2.00e-04
