training log: output/train_20260406_224626.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc20_1e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc20_2e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 50000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 20, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc20_2e-04LR.pt
step 1 | train 3.5460 | val 3.6270 | ppl 37.60 | lr 1.00e-04
step 200 | train 3.3480 | val 3.6587 | ppl 38.81 | lr 1.00e-04
step 400 | train 3.3761 | val 3.6585 | ppl 38.80 | lr 1.00e-04
step 600 | train 3.4599 | val 3.6638 | ppl 39.01 | lr 1.00e-04
step 800 | train 3.6057 | val 3.6690 | ppl 39.21 | lr 1.00e-04
step 1000 | train 3.5742 | val 3.6593 | ppl 38.83 | lr 1.00e-04
step 1200 | train 3.5150 | val 3.6280 | ppl 37.64 | lr 1.00e-04
step 1400 | train 3.3935 | val 3.6506 | ppl 38.50 | lr 1.00e-04
step 1600 | train 3.5078 | val 3.6211 | ppl 37.38 | lr 1.00e-04
step 1800 | train 3.5764 | val 3.6588 | ppl 38.82 | lr 1.00e-04
step 2000 | train 3.3297 | val 3.6328 | ppl 37.82 | lr 1.00e-04
step 2200 | train 3.5886 | val 3.6366 | ppl 37.96 | lr 1.00e-04
step 2400 | train 3.4114 | val 3.6726 | ppl 39.35 | lr 1.00e-04
step 2600 | train 3.4739 | val 3.6560 | ppl 38.71 | lr 1.00e-04
step 2800 | train 3.6551 | val 3.6835 | ppl 39.79 | lr 1.00e-04
step 3000 | train 3.5595 | val 3.6894 | ppl 40.02 | lr 1.00e-04
step 3200 | train 3.4945 | val 3.6456 | ppl 38.30 | lr 1.00e-04
step 3400 | train 3.5573 | val 3.6614 | ppl 38.92 | lr 1.00e-04
step 3600 | train 3.7566 | val 3.6547 | ppl 38.66 | lr 1.00e-04
step 3800 | train 3.5683 | val 3.6174 | ppl 37.24 | lr 1.00e-04
step 4000 | train 3.5353 | val 3.6529 | ppl 38.59 | lr 1.00e-04
step 4200 | train 3.5248 | val 3.6300 | ppl 37.71 | lr 1.00e-04
step 4400 | train 3.6222 | val 3.6310 | ppl 37.75 | lr 1.00e-04
step 4600 | train 3.7047 | val 3.6513 | ppl 38.52 | lr 1.00e-04
step 4800 | train 3.7198 | val 3.6684 | ppl 39.19 | lr 1.00e-04
step 5000 | train 3.5453 | val 3.6373 | ppl 37.99 | lr 1.00e-04
step 5200 | train 3.5226 | val 3.6570 | ppl 38.74 | lr 1.00e-04
step 5400 | train 3.3252 | val 3.6251 | ppl 37.53 | lr 1.00e-04
step 5600 | train 3.6244 | val 3.5973 | ppl 36.50 | lr 1.00e-04
step 5800 | train 3.5668 | val 3.6408 | ppl 38.12 | lr 1.00e-04
step 6000 | train 3.3660 | val 3.6515 | ppl 38.53 | lr 1.00e-04
step 6200 | train 3.4622 | val 3.6836 | ppl 39.79 | lr 1.00e-04
step 6400 | train 3.5818 | val 3.6432 | ppl 38.21 | lr 1.00e-04
step 6600 | train 3.5449 | val 3.6526 | ppl 38.57 | lr 1.00e-04
step 6800 | train 3.6685 | val 3.6319 | ppl 37.79 | lr 1.00e-04
step 7000 | train 3.4866 | val 3.6472 | ppl 38.37 | lr 1.00e-04
step 7200 | train 3.4908 | val 3.6558 | ppl 38.70 | lr 1.00e-04
step 7400 | train 3.4511 | val 3.6544 | ppl 38.65 | lr 1.00e-04
