training log: output/train_20260406_120138.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc20_2e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc20_3e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0002, 'max_steps': 40000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 20, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc20_3e-04LR.pt
step 1 | train 3.5833 | val 3.6590 | ppl 38.82 | lr 2.00e-04
step 200 | train 3.3952 | val 3.6937 | ppl 40.19 | lr 2.00e-04
step 400 | train 3.4165 | val 3.6894 | ppl 40.02 | lr 2.00e-04
step 600 | train 3.4899 | val 3.6917 | ppl 40.11 | lr 2.00e-04
step 800 | train 3.6436 | val 3.7000 | ppl 40.45 | lr 2.00e-04
step 1000 | train 3.6059 | val 3.6864 | ppl 39.90 | lr 2.00e-04
step 1200 | train 3.5398 | val 3.6573 | ppl 38.76 | lr 2.00e-04
step 1400 | train 3.4247 | val 3.6794 | ppl 39.62 | lr 2.00e-04
step 1600 | train 3.5407 | val 3.6505 | ppl 38.49 | lr 2.00e-04
step 1800 | train 3.6072 | val 3.6873 | ppl 39.94 | lr 2.00e-04
step 2000 | train 3.3617 | val 3.6608 | ppl 38.89 | lr 2.00e-04
step 2200 | train 3.6204 | val 3.6655 | ppl 39.07 | lr 2.00e-04
step 2400 | train 3.4457 | val 3.7005 | ppl 40.47 | lr 2.00e-04
step 2600 | train 3.5057 | val 3.6843 | ppl 39.82 | lr 2.00e-04
step 2800 | train 3.6889 | val 3.7118 | ppl 40.93 | lr 2.00e-04
step 3000 | train 3.5905 | val 3.7159 | ppl 41.10 | lr 2.00e-04
step 3200 | train 3.5290 | val 3.6739 | ppl 39.41 | lr 2.00e-04
step 3400 | train 3.5911 | val 3.6873 | ppl 39.93 | lr 2.00e-04
step 3600 | train 3.7889 | val 3.6814 | ppl 39.70 | lr 2.00e-04
step 3800 | train 3.6000 | val 3.6459 | ppl 38.32 | lr 2.00e-04
step 4000 | train 3.5671 | val 3.6829 | ppl 39.76 | lr 2.00e-04
step 4200 | train 3.5606 | val 3.6581 | ppl 38.79 | lr 2.00e-04
step 4400 | train 3.6547 | val 3.6574 | ppl 38.76 | lr 2.00e-04
step 4600 | train 3.7329 | val 3.6816 | ppl 39.71 | lr 2.00e-04
step 4800 | train 3.7528 | val 3.6955 | ppl 40.27 | lr 2.00e-04
step 5000 | train 3.5771 | val 3.6653 | ppl 39.07 | lr 2.00e-04
step 5200 | train 3.5587 | val 3.6855 | ppl 39.87 | lr 2.00e-04
step 5400 | train 3.3559 | val 3.6511 | ppl 38.52 | lr 2.00e-04
step 5600 | train 3.6546 | val 3.6250 | ppl 37.53 | lr 2.00e-04
