training log: output/train_20260331_230036.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5.pt', 'init_from': 'models/sr_transformer_512x20.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 75000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20.pt
step 3550 | train 4.2463 | val 4.4082 | ppl 82.12 | lr 3.00e-05
step 3600 | train 4.1860 | val 4.3772 | ppl 79.62 | lr 3.00e-05
step 3650 | train 4.3519 | val 4.3691 | ppl 78.98 | lr 3.00e-05
step 3700 | train 4.2411 | val 4.3793 | ppl 79.79 | lr 3.00e-05
step 3750 | train 4.2859 | val 4.3979 | ppl 81.28 | lr 3.00e-05
step 3800 | train 4.3839 | val 4.3705 | ppl 79.09 | lr 3.00e-05
step 3850 | train 4.2967 | val 4.3787 | ppl 79.74 | lr 3.00e-05
step 3900 | train 4.1197 | val 4.3711 | ppl 79.13 | lr 3.00e-05
step 3950 | train 4.2905 | val 4.3887 | ppl 80.54 | lr 3.00e-05
step 4000 | train 4.4696 | val 4.3484 | ppl 77.35 | lr 3.00e-05
step 4050 | train 4.1705 | val 4.3913 | ppl 80.75 | lr 3.00e-05
step 4100 | train 4.1975 | val 4.3496 | ppl 77.44 | lr 3.00e-05
step 4150 | train 4.4126 | val 4.3727 | ppl 79.26 | lr 3.00e-05
step 4200 | train 4.3121 | val 4.3701 | ppl 79.05 | lr 3.00e-05
step 4250 | train 4.3454 | val 4.3949 | ppl 81.03 | lr 3.00e-05
step 4300 | train 4.1837 | val 4.3543 | ppl 77.82 | lr 3.00e-05
step 4350 | train 4.2444 | val 4.4054 | ppl 81.89 | lr 3.00e-05
step 4400 | train 4.1957 | val 4.3924 | ppl 80.83 | lr 3.00e-05
step 4450 | train 4.4019 | val 4.3908 | ppl 80.70 | lr 3.00e-05
step 4500 | train 4.2957 | val 4.3831 | ppl 80.08 | lr 3.00e-05
step 4550 | train 4.3554 | val 4.3368 | ppl 76.46 | lr 3.00e-05
step 4600 | train 4.3491 | val 4.3344 | ppl 76.28 | lr 3.00e-05
step 4650 | train 4.3311 | val 4.3365 | ppl 76.44 | lr 3.00e-05
step 4700 | train 4.2493 | val 4.3409 | ppl 76.78 | lr 3.00e-05
step 4750 | train 4.3990 | val 4.3821 | ppl 80.01 | lr 3.00e-05
step 4800 | train 4.1043 | val 4.3720 | ppl 79.20 | lr 3.00e-05
step 4850 | train 4.3460 | val 4.3579 | ppl 78.10 | lr 3.00e-05
step 4900 | train 4.0941 | val 4.3715 | ppl 79.16 | lr 3.00e-05
step 4950 | train 4.2429 | val 4.3745 | ppl 79.40 | lr 3.00e-05
step 5000 | train 4.1940 | val 4.3515 | ppl 77.60 | lr 3.00e-05
step 5050 | train 4.2919 | val 4.3839 | ppl 80.15 | lr 3.00e-05
step 5100 | train 4.2547 | val 4.3825 | ppl 80.04 | lr 3.00e-05
step 5150 | train 4.3440 | val 4.3449 | ppl 77.08 | lr 3.00e-05
step 5200 | train 4.2686 | val 4.3878 | ppl 80.46 | lr 3.00e-05
step 5250 | train 4.3265 | val 4.3499 | ppl 77.47 | lr 3.00e-05
